timestamp,frame_id,fps,latency_ms,top1_class,confidence,cpu_usage_percent,memory_usage_mb
1766685619.4126713,1,0.0,463.1,office_paper,0.0557,43.1,1788.47
1766685619.5294478,2,0.0,67.81,office_paper,0.0604,74.5,1788.4
1766685619.5994847,3,0.0,66.77,office_paper,0.0538,81.5,1788.4
1766685619.669533,4,0.0,67.11,office_paper,0.0555,82.8,1788.4
1766685619.7398865,5,0.0,67.8,office_paper,0.0514,82.8,1787.69
1766685619.8162553,6,0.0,74.26,office_paper,0.0553,83.3,1787.69
1766685619.8893108,7,0.0,70.38,office_paper,0.0559,85.7,1788.18
1766685619.9611075,8,7.83,69.18,office_paper,0.0543,85.2,1788.18
1766685620.03012,9,7.83,66.69,office_paper,0.0579,82.1,1788.18
1766685620.1033695,10,7.83,70.94,office_paper,0.0503,82.8,1788.18
1766685620.172654,11,7.83,67.09,office_paper,0.0587,85.7,1788.18
1766685620.2399883,12,7.83,65.24,office_paper,0.0551,82.1,1788.18
1766685620.3080602,13,7.83,66.01,office_paper,0.054,85.2,1788.18
1766685620.3743923,14,7.83,64.33,office_paper,0.0516,80.8,1788.18
1766685620.4421613,15,7.83,65.74,office_paper,0.0586,85.2,1788.18
1766685620.5098705,16,7.83,65.69,office_paper,0.0516,81.5,1788.18
1766685620.5765035,17,7.83,64.48,office_paper,0.0549,85.7,1788.18
1766685620.6443188,18,7.83,65.75,office_paper,0.0549,85.2,1788.18
1766685620.718057,19,7.83,71.41,office_paper,0.0546,81.5,1787.73
1766685620.7875988,20,7.83,67.44,office_paper,0.0574,82.8,1787.73
1766685620.8565524,21,7.83,66.77,office_paper,0.0538,85.7,1787.73
1766685620.9317863,22,7.83,73.16,office_paper,0.0553,83.3,1787.73
1766685620.9991922,23,14.4,65.33,office_paper,0.0572,85.2,1787.73
1766685621.0666099,24,14.4,65.36,office_paper,0.0551,81.5,1787.73
1766685621.1348317,25,14.4,66.13,office_paper,0.0568,84.6,1787.73
1766685621.2016053,26,14.4,64.69,office_paper,0.0545,80.8,1787.73
1766685621.2677414,27,14.4,64.04,office_paper,0.0538,85.2,1787.73
1766685621.3343692,28,14.4,64.52,office_paper,0.0553,85.2,1787.73
1766685621.4015849,29,14.4,65.08,office_paper,0.0545,85.2,1787.73
1766685621.4701707,30,14.4,66.23,office_paper,0.0526,82.1,1787.73
1766685621.5393288,31,14.4,66.98,office_paper,0.0555,85.2,1787.73
1766685621.607019,32,14.4,65.68,office_paper,0.0549,80.8,1787.73
1766685621.6761968,33,14.4,67.01,office_paper,0.0555,82.1,1787.08
1766685621.745455,34,14.4,67.32,office_paper,0.0518,85.7,1787.08
1766685621.818323,35,14.4,70.83,office_paper,0.054,83.3,1787.08
1766685621.8861823,36,14.4,65.81,office_paper,0.0506,84.6,1787.08
