timestamp,frame_id,fps,latency_ms,top1_class,confidence,cpu_usage_percent,memory_usage_mb
1766734341.7351096,1,0.23,0.95,clothing,0.5469,15.1,277.98
1766734341.7672813,2,0.23,0.76,aluminum_food_cans,0.5195,23.1,278.8
1766734341.8003104,3,0.23,0.69,clothing,0.4883,23.1,278.95
1766734341.8329768,4,0.23,0.75,cardboard_boxes,0.3359,16.7,279.1
1766734341.8682864,5,0.23,0.7,clothing,0.4219,7.7,279.25
1766734341.8995187,6,0.23,0.68,clothing,0.625,15.4,279.4
1766734341.9335952,7,0.23,0.68,clothing,0.5859,15.4,279.56
1766734341.9671643,8,0.23,0.72,clothing,0.4688,15.4,279.71
1766734341.9997466,9,0.23,0.67,clothing,0.4531,15.4,279.89
1766734342.0333714,10,0.23,0.7,clothing,0.4453,15.4,279.89
1766734342.0661116,11,0.23,0.66,clothing,0.6562,8.3,279.89
1766734342.099898,12,0.23,0.67,cardboard_boxes,0.293,26.7,279.9
1766734342.1326628,13,0.23,0.69,clothing,0.3477,0.0,279.9
1766734342.166734,14,0.23,0.69,clothing,0.4727,21.4,279.91
1766734342.19913,15,0.23,0.66,cardboard_boxes,0.2383,21.4,279.91
1766734342.2330084,16,0.23,0.73,clothing,0.3672,0.0,279.92
1766734342.2669635,17,0.23,0.67,clothing,0.5234,20.0,279.92
1766734342.2995381,18,0.23,0.66,cardboard_boxes,0.5898,16.7,279.94
1766734342.333274,19,0.23,0.7,clothing,0.2461,20.0,279.94
1766734342.3660414,20,0.23,0.67,clothing,0.6211,15.4,279.94
1766734342.3997297,21,0.23,0.69,clothing,0.3789,8.3,279.94
1766734342.432392,22,0.23,0.67,clothing,0.543,15.4,279.95
1766734342.466004,23,0.23,0.66,clothing,0.5977,8.3,279.95
1766734342.4991264,24,0.23,0.66,clothing,0.4766,21.4,279.96
1766734342.5324674,25,0.23,0.66,clothing,0.4961,15.4,279.96
1766734342.5662127,26,0.23,0.67,clothing,0.5469,21.4,279.96
1766734342.5994112,27,0.23,0.67,cardboard_boxes,0.3242,0.0,279.97
1766734342.632839,28,0.23,0.67,clothing,0.4844,21.4,279.97
