timestamp,frame_id,fps,latency_ms,top1_class,confidence,cpu_usage_percent,memory_usage_mb
1766729840.608515,1,0.36,0.9,clothing,0.6055,17.2,277.95
1766729840.648146,2,0.36,0.74,clothing,0.8555,18.8,278.77
1766729840.687287,3,0.36,0.7,clothing,0.7773,17.6,278.93
1766729840.7286892,4,0.36,0.73,clothing,0.9297,6.7,279.08
1766729840.7671404,5,0.36,0.69,clothing,0.9258,12.5,279.23
1766729840.806711,6,0.36,0.68,clothing,0.7578,12.5,279.37
1766729840.8486636,7,0.36,0.7,clothing,0.8516,16.7,279.54
1766729840.8866384,8,0.36,0.71,clothing,0.9141,13.3,279.69
1766729840.9271877,9,0.36,0.66,clothing,0.8789,6.7,279.86
1766729840.9663868,10,0.36,0.66,clothing,0.7148,12.5,279.86
1766729841.0069323,11,0.36,0.65,clothing,0.7344,6.3,279.87
1766729841.0464404,12,0.36,0.67,clothing,0.5547,12.5,279.88
1766729841.0868225,13,0.36,0.68,clothing,0.8555,12.5,279.88
1766729841.1262968,14,0.36,0.68,clothing,0.7695,17.6,279.88
1766729841.1668024,15,0.36,0.66,clothing,0.5195,12.5,279.89
1766729841.2062087,16,0.36,0.69,clothing,0.7305,6.7,279.9
1766729841.2467165,17,0.36,0.66,clothing,0.6133,11.8,279.91
1766729841.2860992,18,0.36,0.66,clothing,0.7617,17.6,279.91
1766729841.3266158,19,0.36,0.65,clothing,0.6641,6.7,279.91
1766729841.366113,20,0.36,0.66,clothing,0.7305,22.2,279.92
1766729841.4066296,21,0.36,0.65,clothing,0.7305,11.8,279.92
1766729841.4455054,22,0.36,0.67,clothing,0.7617,23.5,279.93
1766729841.4860094,23,0.36,0.66,clothing,0.8984,11.8,279.93
1766729841.525521,24,0.36,0.66,clothing,0.7695,12.5,279.93
1766729841.5660987,25,0.36,0.66,clothing,0.5781,12.5,279.93
1766729841.6053977,26,0.36,0.66,clothing,0.8203,6.7,279.94
1766729841.6459837,27,25.06,0.66,clothing,0.668,11.8,279.94
1766729841.6853209,28,25.06,0.66,clothing,0.7617,17.6,279.95
1766729841.7260542,29,25.06,0.68,clothing,0.7227,12.5,279.95
1766729841.7653222,30,25.06,0.65,clothing,0.7422,6.2,279.96
1766729841.8060064,31,25.06,0.79,clothing,0.6445,6.7,279.96
1766729841.8456464,32,25.06,0.66,clothing,0.5703,17.6,279.96
1766729841.885864,33,25.06,0.65,clothing,0.8359,6.3,279.96
1766729841.9253657,34,25.06,0.66,clothing,0.7109,6.7,279.96
1766729841.96619,35,25.06,0.66,clothing,0.7812,6.2,279.96
1766729842.0051749,36,25.06,0.7,clothing,0.7695,0.0,279.96
1766729842.0446057,37,25.06,0.65,clothing,0.7617,12.5,279.96
1766729842.085157,38,25.06,0.69,clothing,0.6562,6.2,279.96
1766729842.1246078,39,25.06,0.66,clothing,0.707,12.5,279.96
1766729842.1650565,40,25.06,0.7,clothing,0.7109,0.0,279.96
1766729842.2045512,41,25.06,0.66,clothing,0.4883,12.5,279.96
1766729842.2450557,42,25.06,0.7,clothing,0.6875,6.2,279.96
1766729842.2844677,43,25.06,0.67,clothing,0.8047,6.7,279.96
1766729842.3249633,44,25.06,0.69,clothing,0.8203,11.8,279.96
1766729842.3643568,45,25.06,0.66,clothing,0.7812,6.7,279.96
1766729842.4049597,46,25.06,0.69,clothing,0.6914,6.2,279.96
1766729842.4443443,47,25.06,0.65,clothing,0.9023,6.7,279.96
1766729842.4848654,48,25.06,0.69,clothing,0.7852,11.8,279.96
